TABNAME,LANGUAGE,TEXT
AUFK,D,Auftragsstammdaten
AUFK,E,Order master data
AUFK_WO,E,
AUSP,D,AusprÃ¤gungswerte der Sachmerkmale
AUSP,E,Characteristic Values
BHT_STXL_TEXT,E,LongText
BFOD_A,D,FI-Nachbelastung Bilanz: Debitoren-Posten
BFOD_A,E,FI Subsequent BA/PC Adjustment: Customer Items
BFOK_A,D,FI-Nachbelastung Bilanz: Kreditoren-Posten
BFOK_A,E,FI subsequent BA/PC adjustment: Vendor items
BKPF,D,Belegkopf fÃ¼r Buchhaltung
BKPF,E,Accounting Document Header
BNKA,D,Bankenstamm
BNKA,E,Bank master record
BSAD,D,Buchhaltung: SekundÃ¤rindex fÃ¼r Debitoren (ausgebl. Posten)
BSAD,E,Accounting: Secondary Index for Customers (Cleared Items)
BSAK,D,Buchhaltung: SekundÃ¤rindex fÃ¼r Kreditoren (ausgegl. Posten
BSAK,E,Accounting: Secondary Index for Vendors (Cleared Items)
BSAS,D,Buchhaltung: SekundÃ¤rindex fÃ¼r Sachkonten (ausgegl. Posten
BSAS,E,Accounting: Secondary Index for G/L Accounts (Cleared Items)
BSEC,D,Belegsegment CPD-Daten
BSEC,E,One-Time Account Data Document Segment
BSEG,D,Belegsegment Buchhaltung
BSEG,E,Accounting Document Segment
BSET,D,Belegsegment Steuerdaten
BSET,E,Tax Data Document Segment
BSID,D,Buchhaltung: SekundÃ¤rindex fÃ¼r Debitoren
BSID,E,Accounting: Secondary Index for Customers
BSIK,D,Buchhaltung: SekundÃ¤rindex fÃ¼r Kreditoren
BSIK,E,Accounting: Secondary Index for Vendors
BSIM,D,SekundÃ¤rindex Belege zum Material
BSIM,E,Secondary Index Documents for Material
BSIS,D,Buchhaltung: SekundÃ¤rindex fÃ¼r Sachkonten
BSIS,E,Accounting: Secondary Index for G/L Accounts
CA0001,D,Merkmale 
CA0001,E,Characteristic 
CA0002,D,Klassen Zuordnung 
CA0002,E,Class assignments 
CA0003,D,Abhaenigkeit Zuordnung 
CA0003,E,Dependencies assignments 
CA0004,D,Systemstatus 
CA0004,E,System status 
CA0005,D,Anwender-Status 
CA0005,E,User status 
CA0006,D,Langtext: Anzeige 
CA0006,E,Long text: Display 
CA0007,D,Text: Domaenenfestwerte 
CA0007,E,Text: Domain fixed values 
CABN,D,Merkmal
CABN,E,Characteristic
CABNT,D,Texte fÃ¼r Merkmale
CABNT,E,Characteristic Descriptions
CAWN,D,Merkmalwerte
CAWN,E,Characteristic values
CAWNT,D,Texte fÃ¼r Werte
CAWNT,E,Value Texts
CA_CL03_1,D,Klasseninformationen [CL03]
CA_CL03_1,E,Display class [CL03]
CA_CL03_2,D,Aenderungsstamm [CL03] [CL03]
CA_CL03_2,E,Change master  [CL03]
CA_CL03_3,D,Aenderungsbelegkopf [CL03]
CA_CL03_3,E,Change document header [CL03]
CA_CL03_4,D,Aenderungsbelegpositionen [CL03]
CA_CL03_4,E,Change document items [CL03]
CA_CL03_5,D,Klasseninformationen Kopf [CL03]
CA_CL03_5,E,Class Header Data [CL03]
CA_CL03_6,D,Merkmale zu Klassen [CL03]
CA_CL03_6,E,Characteristics of Class [CL03]
CA_CT04,D,Merkmalverwaltung / Zuordnungstabelle: Objekt zu Klasse [CT04]
CA_CT04,E,Characteristics / Allocation Table: Object to Class [CT04]
CA_CT04_1,D,Merkmalverwaltung [CT04]
CA_CT04_1,E,Characteristics [CT04]
CA_CT04_2,D,Merkmalverwaltung / Merkmal [CT04]
CA_CT04_2,E,Characteristics  [CT04]
CA_CT04_3,D,Merkmalverwaltung/ Merkmalswerte [CT04]
CA_CT04_3,E,Characteristics/ Characteristic values [CT04]
CA_CU03,D,Beziehungen anzeigen [CU03]
CA_CU03,E,Display dependency [CU03]
CA_CU43,D,Konfigurations Profil [CU43]
CA_CU43,E,Display configuration profile [CU43]
CA_CUKN,D,Dependency editor 
CA_CUKN,E,Dependency editor 
CA_DRAT,D,Text: Dokuinfosaetze 
CA_DRAT,E,Text: Document info records 
CA_EKPO,D,Bestellung Material Positionen 
CA_EKPO,E,Orders material position
CA_F_20,D,Debitoren-Kunden-Stammdaten [F.20]
CA_F_20,E,Customer master data [F.20]
CA_KE5Z,D,Einzelposten Profit Center [KE5Z]
CA_KE5Z,E,Profit center line item [KE5Z]
CA_LFA1,D,Kreditoren-Lieferanten-Stammdaten 
CA_LFA1,E,Vendor master data 
CA_MAKT,D,Text: Materialkurztexte 
CA_MAKT,E,Text: Material descriptions 
CA_ME81,D,Bestellung Material [ME81]
CA_ME81,E,Order Material [ME81]
CA_OY01,D,Text: Laenderbezeichnung [OY01 ]
CA_OY01,E,Text: Country names [OY01 ]
CA_SCC4,D,Mandant anzeigen [SCC4]
CA_SCC4,E,Client display [SCC4]
CA_STXH,D,Langtext: Selektion 
CA_STXH,E,Long text: Selection 
CA_STXL_1,D,Descriptive text of the modified header 
CA_STXL_1,E,Descriptive text of the modified header 
CA_STXL_2,D,Langtext: Anzeige 
CA_STXL_2,E,Long text: Display 
CA_STXL_3,D,Langtext Anzeige 
CA_STXL_3,E,Long text display 
CA_SU01,D,Profile [SU01]
CA_SU01,E,User autorizations [SU01]
CA_SU01D_1,D,Benutzerpflege [SU01D]
CA_SU01D_1,E,User maintenance [SU01D]
CA_SU01D_2,D,Rollen [SU01D]
CA_SU01D_2,E,User roles [SU01D]
CA_S_P6B_12000150,D,Auswertung von Aenderungsprotokollen [S_P6B_12000150]
CA_S_P6B_12000150,E,Evaluating Change Logs [S_P6B_12000150]
CA_T001L,D,Text: Lagerort-Daten 
CA_T001L,E,Text: Storage location data 
CA_T001W,D,Text: Werk 
CA_T001W,E,Text: Plant 
CA_T005,D,Text: Laenderdaten 
CA_T005,E,Text: Country data 
CA_T006A,D,Text: int. Masseinheit 
CA_T006A,E,Text: Unit of measurement 
CA_T023T,D,Text: Warengruppen 
CA_T023T,E,Text: Material group 
CA_T024X,D,Text: Labor/ Buero 
CA_T024X,E,Text: Laboratory/ design office 
CA_T148T,D,Text: Sonderbestand Typen 
CA_T148T,E,Text: Special stock types 
CA_T300T,D,Text: Lagernummer 
CA_T300T,E,Text: Stock number 
CA_TCURT,D,Text: Waehrung 
CA_TCURT,E,Text: Currency 
CA_TJ01T,D,Text: betriebswirtschaftliche Vorgaenge 
CA_TJ01T,E,Text: Business transaction 
CA_TJ02T,D,Text: Systemstatus 
CA_TJ02T,E,Text: System status 
CA_TJ30T,D,Text: Anwenderstatus 
CA_TJ30T,E,Text: User status 
CA_TOA01,D,Dokumente 
CA_TOA01,E,Documents 
CA_TTXIT,D,Text: Langtext: Id 
CA_TTXIT,E,Text: Long text: Id 
CDHDR,D,Ã„nderungsbelegkopf
CDHDR,E,Change document header
CDPOS,D,Ã„nderungsbelegpositionen
CDPOS,E,Change document items
CEPC,D,Stammdatentabelle von Profit Centern
CEPC,E,Profit Center Master Data Table
CEPCT,D,Buchungskreiszuordnung von Profit Centern
CEPCT,E,Assignment of Profit Centers to a Company Code
CEPC_BUKRS,D,Profit-Center-Stammdaten Texte
CEPC_BUKRS,E,Texts for Profit Center Master Data
CHVW,D,Tabelle CHVW fÃ¼r Chargenverwendungsnachweis
CHVW,E,Table CHVW for Batch Where-Used List
CKHS,D,Kopf - Einzelkalkulation (Steuerung + Summen)
CKHS,E,Header: Unit Costing (Control + Totals)
CKIS,D,Positionen Einzelkalkulation/Einzelnachweis Erz.kalkulatio
CKIS,E,Items Unit Costing/Itemization Product Costing
CK_BSEG,E,
CK_BSET,E,
CO001,D,Kosten/Erloese/Ausgaben/Einnahmen 
CO001,E,Costs/Revenues/Expenses/Income 
CO002,D,Projekt-Einzelposten 
CO002,E,Project line items 
CO003,D,Stammdatenverzeichnis Innenauftraege 
CO003,E,Master data directory internal order 
CO004,D,Statusinformationen (Ergebnisliste) 
CO004,E,status information (result list) 
CO0300,E,
COBK,D,CO-Objekt: Belegkopf
COBK,E,CO Object: Document Header
COBRA,D,Abrechnungsvorschrift Auftragsabrechnung
COBRA,E,Settlement Rule for Order Settlement
COBRB,D,Aufteilungsregeln Abrechnungsvorschrift Auftragsabrechnung
COBRB,E,Distribution Rules Settlement Rule Order Settlement
COEP,D,CO-Objekt: Einzelposten periodenbezogen
COEP,E,CO Object: Line Items (by Period)
COEPL,D,CO-Objekt: Einzelposten Leistungsarten Periodenbezogen
COEPL,E,CO Object: Line Items for Activity Types (by Period)
COEPR,E,CO Object: Line Items for Stat. Key Figs (by Period)
COFIT,D,SummensÃ¤tze Abstimmledger
COFIT,E,Totals Records for Reconciliation Ledger
COKR,D,CO-Objekt: Steuerungsdaten Statistische GrÃ¶ÃŸen
COKR,E,CO Object: Control Data for Statistical Key Figures
COSL,D,CO-Objekt: Summen Leistungsarten
COSL,E,CO Object: Activity Type Totals
COSP,D,CO-Objekt: Summen Kosten - externe Buchungen
COSP,E,CO Object: Cost Totals for External Postings
COSPP,D,Ãœbernahme der COSP-Tabelle Auftrag auf Projekt
COSPP,E,Transfer of the Order in the COSP Table to the Project
COSR,D,CO-Objekt: Summen Statistische Kennzahlen
COSR,E,CO Object: Statistical Key Figure Totals
COSS,D,CO-Objekt: Summen Kosten - interne Buchungen
COSS,E,CO Object: Cost Totals for Internal Postings
COST,D,CO-Objekt: Summen Tarife
COST,E,CO Object: Price Totals
COVPR,E,Generierte Tabelle zu einem View
CO_2KEE,D,Profit Center: Summensaetze [2KEE]
CO_2KEE,E,Profit Center: Totals Record display [2KEE]
CO_AUFK_1,D,CO-Einzelposten zu Auftraegen 
CO_AUFK_1,E,CO-line items for orders 
CO_CO26_1,D,Arbeitsvorgang [CO26]
CO_CO26_1,E,DB structure of the user fields of the operation [CO26]
CO_CO26_2,D,Allgemeine Materialdaten [CO26]
CO_CO26_2,E,General material data [CO26]
CO_CO26_3,D,Werksdaten zum Material [CO26]
CO_CO26_3,E,General material [CO26]
CO_CO26_4,D,Einzelstatus pro Objekt [CO26]
CO_CO26_4,E,Individual object status [CO26]
CO_CO26_5,D,Systemstatus [CO26]
CO_CO26_5,E,System status [CO26]
CO_CO26_6,D,Anwenderstatus [CO26]
CO_CO26_6,E,User status [CO26]
CO_CO26_7,D,Materialverwaltungssatz [CO26]
CO_CO26_7,E,Material control [CO26]
CO_COBK_1,D,CO-Object: Belegkopf 
CO_COBK_1,E,CO-Object: Document Header
CO_COBRA_1,D,CO Abr.Vorschrift 
CO_COBRA_1,E,CO Accounting Rule 
CO_COBRA_3,D,Abrechnungsvorschrift Auftragsabrechnung 
CO_COBRA_3,E,Accounting rules order settlement 
CO_COBRB,D,Aufteilungsregeln Abrechnungsvorschrift Auftragsabrechnung 
CO_COBRB,E,CO accounting split 
CO_COBRB_1,D,CO Abr.Aufteilung 
CO_COBRB_1,E,Splitting rules order settlement 
CO_COEPL,D,CO-Objekt: Einzelposten/ LArt/Perioden 
CO_COEPL,E,CO object: Line items (by period) 
CO_COEP_1,D,Einzelposten periodenbezogen 
CO_COEP_1,E,Line item according to period 
CO_COKR,D,Statistische Groessen 
CO_COKR,E,Statistical values 
CO_COOIS_1,D,Auftragsinformationssystem [COOIS/ CO26]
CO_COOIS_1,E,Order information system [COOIS / CO26]
CO_COSL,D,Summen Leistungsarten 
CO_COSL,E,Activity types totals 
CO_COSP_4,D,Summen_Kosten - externe Buchungen 
CO_COSP_4,E,Total costs - external postings 
CO_COSR,D,Summen Statistischer Kennzahlen 
CO_COSR,E,Statistical Key figure totals 
CO_COSS_1,D,Summen Kosten - interne Buchungen 
CO_COSS_1,E,Total costs - internal postings 
CO_CSKA,D,Kostenarten 
CO_CSKA,E,cost elements 
CO_CSKS,D,CO-Einzelbelege nach Kostenstelle 
CO_CSKS,E,CO-single document by cost center 
CO_CSKT,D,Text: Kostenstellen 
CO_CSKT,E,Text: Cost center 
CO_CSKU,D,Text: Kostenarten 
CO_CSKU,E,Text: Cost element 
CO_CSSL,D,Kostenstelle/ Leistungsart 
CO_CSSL,E,Cost center/ activity type 
CO_FSE3,D,Kontengruppe / Bilanzstruktur anzeigen [FSE3]
CO_FSE3,E,Financial Statement Version [FSE3]
CO_GCS6,D,Fix- Ergebnisvortragskonten global [GCS6]
CO_GCS6,E,Local Retained Earnings Accounts [GCS6]
CO_KA23,D,Kostenarten anzeigen [KA23/ KA03]
CO_KA23,E,Display cost elements [KA23 / KA03]
CO_KAL7,D,Uebersicht Kostenfluesse [KAL7]
CO_KAL7,E,Reconciliation Ledger Cost Flow Overview [KAL7]
CO_KB13N,D,Manuelle Umbuchung von PrimÃƒ?Ã‚Â¤rkosten anzeigen [KB13N]
CO_KB13N,E,Display Manual Repostings of Costs [KB13N]
CO_KB13N_1,D,Manuelle Umbuchungen anzeigen [KB13N]
CO_KB13N_1,E,Show manual transfers [KB13N]
CO_KB23N,D,Direkte Leistungsverrechnung Anzeigen [KB23N]
CO_KB23N,E,Display direct activity [KB23N]
CO_KBH3,D,Stat. Kennzahlengruppe anzeigen [KBH3]
CO_KBH3,E,Statistical Key Figure Group display [KBH3]
CO_KE24,D,Einzelpostenanzeige - Ist [KE24]
CO_KE24,E,Actual Line Items display [KE24]
CO_KE53_1,D,Profit Center Stammdaten [KE53]
CO_KE53_1,E,Profit center Master Data [KE53]
CO_KE53_2,D,Profit Center/ Buchungskreis [KE53]
CO_KE53_2,E,Profit center [KE53]
CO_KE5Z,D,Profit-Center Einzelposten [KE5Z]
CO_KE5Z,E,Profit center single items [KE5Z]
CO_KK03,D,Statistische Kennzahlen anzeigen [KK03]
CO_KK03,E,Statistical Key Figure Master data display [KK03]
CO_KKAQ,D,Ware in Arbeit: Anzeige Sammelverarbeitung [KKAQ]
CO_KKAQ,E,Work in Process: Collective Processing display [KKAQ]
CO_KKBC_ORD,D,Analysieren Auftrag Soll/Ist-Vergleich [KKBC_ORD]
CO_KKBC_ORD,E,Analyze Order: Target/Actual-Comparison [KKBC_ORD]
CO_KKBC_ORD_1,D,Analysieren Auftrag Soll/Ist-Vergleich Entlastung [KKBC_ORD]
CO_KKBC_ORD_1,E,Analyze Order: Target/Actual Discharge [KKBC_ORD]
CO_KL03,D,Leistungsarten anzeigen [KL03/ KL13]
CO_KL03,E,Display activity type [KL03 / KL13]
CO_KO03,D,CO Innenauftrag [KO03]
CO_KO03,E,CO internal order [KO03]
CO_KO8B,D,Abrechnungsbeleg [KO8B]
CO_KO8B,E,Settlement Document [KO8B]
CO_KO8B_1,D,Abrechnungsvorschrift anzeigen [KO8B]
CO_KO8B_1,E,Distribution Rules Settlement Rule Order Settlement [KO8B]
CO_KO8N,D,Nummerkreisintervalle CO-Abrechnung [KO8N]
CO_KO8N,E,Number Range for Settlement documents CO [KO8N]
CO_KOB1,D,Auftraege Einzelposten Istkosten [KOB1]
CO_KOB1,E,Orders: Actual Cost Line Items [KOB1]
CO_KS13,D,Kostenstelle Stammdaten [KS03/ KS13]
CO_KS13,E,Display cost center [KS03 / KS13]
CO_KSAI,D,Abgrenzungen: Zuordnung pro Kostenrechnungskreis [KSAI]
CO_KSAI,E,Accrual Calculation: Assigment by Controlling Area [KSAI]
CO_KSAI_1,D,Abgrenzungen Details: Zuordnung pro Kostenrechnungskreis [KSAI]
CO_KSAI_1,E,Accrual Calculation Details: Assigment by Controlling Area [KSAI]
CO_KSAJ,D,Abgrenzung: Soll=Ist Entlastung [KSAJ]
CO_KSAJ,E,Accrual Calculation: T=A Credit [KSAJ]
CO_KSB1,D,CO-Einzelposten [KSB1]
CO_KSB1,E,CO line items [KSB1]
CO_KSB1_2,D,Kostenstellen Einzelposten Istkosten anzeigen [KSB1]
CO_KSB1_2,E,Cost Centers: Actual Cost Line Items [KSB1]
CO_KSB1_ALL,E,CO_KSB1_ALL
CO_KSBT,D,Kostenstellen: Leistungstarife [KSBT]
CO_KSBT,E,Cost Center: Activity Type Prices [KSBT]
CO_KVBI,D,Verkaufsbeleg Einzelposten Istkosten [KVBI]
CO_KVBI,E,Sales Documents: Line Items Actual [KVBI]
CO_MARD,D,Lagerortdaten zum Material 
CO_MARD,E,Storage location data for the material 
CO_OKV1,D,Abweichungsschluessel Auftraege anzeigen [OKV1]
CO_OKV1,E,Variance Keys Orders [OKV1]
CO_OKV2,D,Abweichungsschluessel Kostentraeger anzeigen [OKV2]
CO_OKV2,E,Variance Keys Cost Objects [OKV2]
CO_ONRFS,D,Objektnummernindex Finanzstelle 
CO_ONRFS,E,Object number index for commitment funds center 
CO_S_ALR_87009746,D,Profit Center: Drilldown Forderungen [S_ALR_87009746]
CO_S_ALR_87009746,E,Profit Center: Receivables [S_ALR_87009746]
CO_S_ALR_87009747,D,Profit Center: Drilldown Verbindlichkeiten [S_ALR_87009747]
CO_S_ALR_87009747,E,Profit Center: Payables [S_ALR_87009747]
CO_S_ALR_87013104,D,Kundenauftragsselektion externe Kosten [S_ALR_87013104]
CO_S_ALR_87013104,E,Sales Orders external costs [S_ALR_87013104]
CO_S_ALR_87013104_1,D,Kundenauftragsselektion interne Kosten [S_ALR_87013104]
CO_S_ALR_87013104_1,E,Sales Orders internal costs [S_ALR_87013104]
CO_S_ALR_87013531,D,Projekt Kosten (Erloese/Ausgaben/Einnahmen) [S_ALR_87013531/ S_ALR_87013568]
CO_S_ALR_87013531,E,Project Costs: Costs/revenues/expenditures/receipts [S_ALR_87013531 / S_ALR_87013568]
CO_S_ALR_87013602,D,Kostenarten: Objektart KSt/ Auftr/ Projekt/ Andere [S_ALR_87013602]
CO_S_ALR_87013602,E,Cost Elements: Obj. type in columns [S_ALR_87013602]
CO_S_ALR_87013632,D,Kostenstellen durschschnittl. externe Kosten selektieren [S_ALR_87013632]
CO_S_ALR_87013632,E,Cost Centers: Average external Costs [S_ALR_87013632]
CO_S_ALR_87013632_1,D,Kostenstellen durschschnittl. interne Kosten selektieren [S_ALR_87013632]
CO_S_ALR_87013632_1,E,Cost Centers: Average internal Costs [S_ALR_87013632]
CO_T003P,D,Text: Auftragsarten CO 
CO_T003P,E,Text: Order type CO 
CO_TFKBT,D,Text: Funktionsbereiche 
CO_TFKBT,E,Text: Functional areas 
CO_TKT05,D,Text: Kostenstellentypen 
CO_TKT05,E,Text: Cost center types 
CO_TPC4,D,Programme f?r Berechtigungspruefung [TPC4]
CO_TPC4,E,Programs for Authorization Check [TPC4]
CRCA,D,Arbeitsplatz KapazitÃ¤tszuordnung
CRCA,E,Work Center Capacity Allocation
CRCO,D,Arbeitsplatz Kostenstellenzuordnung
CRCO,E,Assignment of Work Center to Cost Center
CRHD,D,Arbeitsplatz Kopf
CRHD,E,Work Center Header
CRID,D,Production resource - entities
CRID,E,CIM Resource - Entities
CRTX,D,Arbeitsplatz/ Fertigungshilfsmittel Kurzbezeichnung
CRTX,E,Text for the Work Center or Production Resource/Tool
CSKA,D,Kostenarten (KontenplanabhÃ¤ngige Daten)
CSKA,E,Cost Elements (Data Dependent on Chart of Accounts)
CSKB,D,Kostenarten (KostenrechnungskreisabhÃ¤ngige Daten)
CSKB,E,Cost Elements (Data Dependent on Controlling Area)
CSKS,D,Kostenstellenstammsatz
CSKS,E,Cost Center Master Data
CSKT,D,Kostenstellentexte
CSKT,E,Cost Center Texts
CSKU,D,Kostenartentexte
CSKU,E,Cost Element Texts
CSLA,D,Leistungsartenstamm
CSLA,E,Activity master
CSLT,D,Leistungsartentexte
CSLT,E,Activity type texts
CSSL,D,Kostenstelle / Leistungsart
CSSL,E,Cost Center/Activity Type
CUCO,D,Zusatzdaten fÃ¼r konfigurierbare Objekte
CUCO,E,Additional Data for Configurable Objects
CUKB,D,Verwaltungsinformationen fÃ¼r Wissenspflege
CUKB,E,Administrative Information for Dependency Maintenance
CUKBT,D,Texttabelle f. Verwaltungsinformationen d. Wissensplege
CUKBT,E,Text Table for Dependency Maintenance Admin. Information
CUKN,D,Wissensablage Varianten / Konfiguration
CUKN,E,Dependency Storage - Variants/Configuration
CUOB,D,Zuordnung Objekt - Wissensbausteine
CUOB,E,Assignment of Object to Dependency
DDFTX,E,Run-time object with Screen Painter texts
DDFTX,D,Laufzeitobjekt mit Screen Painter-Texten
DD04T,D,R/3-DD: Texte der Datenelemente
DD04T,E,R/3 DD: Data element texts
DD07L,D,R/3-DD: Werte zu den Domaenen
DD07L,E,R/3 DD: values for the domains
DD07T,D,DD: Texte zu DomÃ¤nenfestwerten (sprachabhÃ¤ngig)
DD07T,E,DD: Texts for Domain Fixed Values (Language-Dependent)
DKKOS,D,Kontenschreibung
DKKOS,E,Balance Audit Trail
DRAD,D,VerknÃ¼pfung Dokument-Objekt
DRAD,E,Document-Object Link
DRAT,D,Kurztexte fÃ¼r DokuinfosÃ¤tze
DRAT,E,Texts for Document Info Records
DRAW,D,Dokumentinformationssatz
DRAW,E,Document Info Record
DSKOS,D,Kontenschreibung
DSKOS,E,Balance Audit Trail
EBAN,D,Bestellanforderung
EBAN,E,Purchase Requisition
EBEW,D,Bewertung Kundenauftragsbestand
EBEW,E,Sales Order Stock Valuation
EBKN,D,Bestellanforderungs-Kontierung
EBKN,E,Purchase Requisition Account Assignment
EDIDC,D,Kontrollsatz (IDoc)
EDIDC,E,Control record (IDoc)
EDMMS,D,Zuordnung EDI-Partner zu Einkaufsorganisationsdaten und Werk
EDMMS,E,Assignment of EDI partner to purchasing org. and plant
EIKP,D,AuÃŸenhandel: Export/Import Kopfdaten
EIKP,E,Foreign Trade: Export/Import Header Data
EINA,D,Einkaufsinfosatz - allgemeine Daten
EINA,E,Purchasing Info Record: General Data
EINE,D,Einkaufsinfosatz - Einkaufsorganisationsdaten
EINE,E,Purchasing Info Record: Purchasing Organization Data
EIPA,D,Bestellpreisentwicklung Infosatz
EIPA,E,Order Price History: Info Record
EIPO,D,AuÃŸenhandel: Export/Import: Positionsdaten
EIPO,E,Foreign Trade: Export/Import: Item Data
EKBE,D,Historie zum Einkaufsbeleg
EKBE,E,History per Purchasing Document
EKBZ,D,Historie zum Einkaufsbeleg - Bezugsnebenkosten
EKBZ,E,History per Purchasing Document: Delivery Costs
EKET,D,Lieferplaneinteilungen
EKET,E,Scheduling Agreement Schedule Lines
EKKN,D,Kontierung im Einkaufsbeleg
EKKN,E,Account Assignment in Purchasing Document
EKKO,D,Einkaufsbelegkopf
EKKO,E,Purchasing Document Header
EKPO,D,Einkaufsbelegposition
EKPO,E,Purchasing Document Item
EORD,D,Einkaufs-Orderbuch
EORD,E,Purchasing Source List
EQKT,D,Equipmentkurztexte
EQKT,E,Equipment Short Texts
EQUI,D,Equipment Stammdaten
EQUI,E,Equipment master data
EQUZ,D,Equipment Zeitsegment
EQUZ,E,Equipment time segment
ESLL,E,Lines of Service Package
ESSR,E,Service Entry Sheet Header Data
EVOP,D,Objektparameter
EVOP,E,Object parameters
FAGLFLEXT,D,Ledgergruppentexte
FAGLFLEXT,E,Ledger Group Texts
FAGL_011QT,D,Hauptbuch: Summen
FAGL_011QT,E,General Ledger: Totals
FAGL_011ZC,D,Bil/GuV-Struktur: Texte zu Bil/GuV-Positionen
FAGL_011ZC,E,Fin. Statement Structure: Text for Fin. Statement Items
FAGL_ACTIVEC,D,Bil/GuV-Struktur: Zuordnung Bil/GuV-Pos. - Hauptbuchkonten
FAGL_ACTIVEC,E,Fin. Statement Structure: Assignment FS Items - G/L Account
FAGL_TLDGRP,D,Aktivierung FlexGL
FAGL_TLDGRP,E,Activation of New General Ledger
FAGL_TLDGRPT,D,Ledgergruppe
FAGL_TLDGRPT,E,Ledger Group
FEBEP,D,Einzelposten des Elektronischen Kontoauszugs
FEBEP,E,Electronic Bank Statement Line Items
FEBKO,D,KopfsÃ¤tze des Elektronischen Kontoauszugs
FEBKO,E,Electronic Bank Statement Header Records
FI0001,D,Sachkontenverzeichnis 
FI0001,E,index of G/L accounts 
FI0002,D,Debitor Salden Sonderhauptbuch 
FI0002,E,Cust. balances special general ledger 
FIAA0001,D,Kontenfindung / Kontengruppen 
FIAA0001,E,Account determination / Accountgroup description 
FIAA0002,D,Bewegungsarten der Anlagenbuchhaltung 
FIAA0002,E,Asset transaction types 
FIAA0003,D,Bewertungsbereiche echt und abgeleitet 
FIAA0003,E,Depreciation Areas 
FIAA0004,D,Bewertungsplan Beschreibung 
FIAA0004,E,Chart of depreciation 
FIAA0005,D,Externe Abschreibungsschluessel 
FIAA0005,E,External Depreciation Key 
FIAA0006,D,Anlagen Einzelposten 
FIAA0006,E,Asset documents line items 
FIAA_AB03,D,Anlagenbuchungen Kopf und Positionen [AB03]
FIAA_AB03,E,Asset Header and Position Documents [AB03]
FIAA_ANEP,D,Anlagenbewegungen 
FIAA_ANEP,E,Asset Transactions 
FIAA_ANKT,D,Text: Anlagenklasse 
FIAA_ANKT,E,Text: Asset class description 
FIAA_ANKT_2,D,Anl. Klassen Beschr. 
FIAA_ANKT_2,E,asset class descr. 
