FIELDNAME,LANGUAGE,TEXT
ABSND,E,Sending bank
ABSNM,D,Abgeschl.von
ABSNM,E,Closed by
ABSPZ,D,NachweisUmfa
ABSPZ,E,Verific.level
ABSSC,D,Absicherung
ABSSC,E,Paym.guar.proc.
ABSTA,D,Absagestatus
ABSTA,E,Rejection stat.
ABSTE,D,Bestelleinteil.
ABSTE,E,PO item schdLns
ABSTK,D,Absagestatus
ABSTK,E,Rejection stat.
ABSTP,D,Bestellposit.
ABSTP,E,Order items
ABTEI,D,Anwend.Sicht
ABTEI,E,Org.area
ABTNR,D,Abteilung
ABTNR,E,Department
ABUEB,D,Erstellungsprofil
ABUEB,E,Creation Profile
ABUKR,D,AnfordBuchKreis
ABUKR,E,Req. co.code
ABVOR1,D,BewbereichsVorz
ABVOR1,E,Dep. area sign
ABVOR2,D,BewbereichsVorz
ABVOR2,E,Dep. area sign
ABVOR3,D,BewbereichsVorz
ABVOR3,E,Dep. area sign
ABVOR4,D,BewbereichsVorz
ABVOR4,E,Dep. area sign
ABWAE,E,Settlement currency for bank transfers
ABWBER,E,Alternative Depreciation Area for Account Determination
ABWD1,D,abrechnen bis
ABWD1,E,Run payr. up to
ABWD2,D,nicht abrechnen
ABWD2,E,Do not account
ABWKZ,D,AbwertKennziff
ABWKZ,E,Devaluation ind
ABWST,D,Abwicklungsst.
ABWST,E,ProcessControl
ABWTG,D,Ab/AnTage
ABWTG,E,Att./abs. days
ACALL,E,Unused field
ACCNU,D,Kont. Anzahl
ACCNU,E,Quota number
ACCOP,D,Operation
ACCOP,E,Operation
ACCSS,D,Accessories
ACCSS,E,Accessories
ACCTN,D,Kontonummer
ACCTN,E,Account number
ACCTR,D,übertragen
ACCTR,E,Transfer
ACDATV,D,AbgrenzBeginndatum
ACDATV,E,Acc. period start
ACHVM,D,Archivierungsvorm.
ACHVM,E,Archiving flag
ACL01,D,MA-Attr.-Klasse
ACL01,E,EE attr.class
ACL02,D,MA-Attr.-Klasse
ACL02,E,EE attr.class
ACL03,D,MA-Attr.-Klasse
ACL03,E,EE attr.class
ACL04,D,MA-Attr.-Klasse
ACL04,E,EE attr.class
ACL05,D,MA-Attr.-Klasse
ACL05,E,EE attr.class
ACL06,D,MA-Attr.-Klasse
ACL06,E,EE attr.class
ACL07,D,MA-Attr.-Klasse
ACL07,E,EE attr.class
ACL08,D,MA-Attr.-Klasse
ACL08,E,EE attr.class
ACLAS,D,MA-Attr.-Klasse
ACLAS,E,EE attr.class
ACLASS,E,Joint operating agreement class
ACLTX,D,AttrKlassenÜberschr.
ACLTX,E,Attr.class.header.
ACPOS,E,Value category
ACSS2,D,Accessories
ACSS2,E,Accessories
ACTGRP,D,Akt.gruppe
ACTGRP,E,Activity group
ACTIV,D,Vorgang
ACTIV,E,Transaction
ACTIVE,D,Neue Hauptb. aktiv
ACTIVE,E,New G/L Acctg Active
ACTIVITY_PROFIL,D,Aktivitätenprofil
ACTIVITY_PROFIL,E,Activity Profile
ACTSS,D,Soz. Vers. Code
ACTSS,E,Soc. Ins. Code
ACTVS,D,Aktive Version
ACTVS,E,Active version
ACTXK,D,Schl. Lsttext
ACTXK,E,Act. descr. key
ACTXT,D,AttrKlasseFeldbez.
ACTXT,E,Attr.class.fld.nm
ACTXY,D,Lstexttyp
ACTXY,E,Act. desc. type
ACT_CHANGE_AA,D,Ändern Equi
ACT_CHANGE_AA,E,Change equipment
ACT_CHANGE_PM,D,Ändern Anlage
ACT_CHANGE_PM,E,Change asset
ACT_CHNGNO,D,Belegnummer
ACT_CHNGNO,E,Document number
ACT_MENGE,E,Purchase Order: Entered Quantity
ACT_WERT,E,Entered Value
ACT_WORK,E,Internal Work
ADANDOR,E,Indicator for OR or AND link
ADATU,D,Angelegt am
ADATU,E,Created on
ADATUM,D,Ausgabedatum
ADATUM,E,Output date
ADATU_1,D,Angelegt am
ADATU_1,E,Created on
ADCONFTIME,E,Time of Last Completion in Maintenance Plan
ADCP_UUID,E,UUID Used in the Address
ADCYCLE,E,Maintenance package cycle/offset
ADD01,D,Zusatz 1
ADD01,E,Suppl. 1
ADD02,D,Zusatz 2
ADD02,E,Suppl. 2
ADD03,D,Zusatz 3
ADD03,E,Suppl. 3
ADD04,D,Zusatz 4
ADD04,E,Suppl. 4
ADDAT,D,Bezugsdatum
ADDAT,E,Reference Date
ADDNR,D,Belegnr.
ADDNR,E,Document number
ADDON_DUMMY,D,Dummyfeld
ADDON_DUMMY,E,Dummy Field
ADDRESS_ID,D,Adreß-ID
ADDRESS_ID,E,Address ID
ADDRNUMBER,D,Adressnummer
ADDRNUMBER,E,Address number
ADDRNUMBER_1,D,Adressnummer
ADDRNUMBER_1,E,Address number
ADDRORIGIN,D,Quelle Adresse
ADDRORIGIN,E,Address Source
ADDRS,D,Schlüssel Adreßaufbau
ADDRS,E,Address layout key
ADDR_COMP,D,1.Firmenadresse
ADDR_COMP,E,1st Cmpny. Addr
ADDR_GROUP,D,Adreßgruppe
ADDR_GROUP,E,Address group
ADDR_PERS,D,1.pers. Adresse
ADDR_PERS,E,1st Pers. Addr.
ADEXTSTARTDATE,E,Maintenance Plan Start Date Set Externally
ADEXTSTARTTIME,E,Maintenance Plan Start Time Set Externally
ADINT,E,Adjusted intervals to next increase
ADISC,D,Diskontbeleg
ADISC,E,discount document
ADNZAEH,E,Next planned counter reading
ADOBJECT,E,Object number
ADOFFSET,E,Start offset of a time-based maintenance package
ADPER,D,Ver.Schlüssel
ADPER,E,Dist. key
ADPOINT,E,Measuring Point
ADPROF,D,Anpassungsprof.
ADPROF,E,Adjust. Profile
ADPSP,D,Bezugselem. PM/PS
ADPSP,E,Ref. Element PM/PS
ADPSP_1,D,Bezugselem. PM/PS
ADPSP_1,E,Ref. Element PM/PS
ADRC_ERR_STATUS,D,Fehlerstatus
ADRC_ERR_STATUS,E,Error Status
ADRC_UUID,D,Adress-UUID
ADRC_UUID,E,Address UUID
ADRDA,D,Adresskennz.
ADRDA,E,Adress ind.
ADRN2,D,Adresse
ADRN2,E,Address
ADRNP,D,Personennummer
ADRNP,E,Person number
ADRNR,D,Adressnummer
ADRNR,E,Address number
ADRNRA,D,Adressnummer
ADRNRA,E,Address number
ADRNRI,D,Herk.Adresse
ADRNRI,E,Address orig.
ADRNR_1,D,Adresse
ADRNR_1,E,Address
ADRP_ERR_STATUS,E,rror Status of Address
ADRUN,D,Sonderlauf
ADRUN,E,Special run
ADSTTIME,E,Start Time for Scheduling
ADSYSTARTDATE,E,System Date for Maintenance Plan Start
ADSYSTARTTIME,E,System Time for Maintenance Plan Start
ADTGOON,E,Scheduling to reoccur when lead float reached
ADTIME,E,Completion Time for Call Object
ADUHR,D,Bezugszeit
ADUHR,E,Reference time
ADUNIT,E,Unit for the performance of maintenance tasks
ADVCODE,D,Hinweiskode
ADVCODE,E,Advice Code
ADZHL,D,int. Zähler
ADZHL,E,Int. counter
ADZHL_1,D,int. Zähler
ADZHL_1,E,Int. counter
ADZHL_2,D,int. Zähler
ADZHL_2,E,Int. counter
ADZHL_3,D,int. Zähler
ADZHL_3,E,Int. counter
ADZHL_4,D,int. Zähler
ADZHL_4,E,Int. counter
ADZHL_5,D,int. Zähler
ADZHL_5,E,Int. counter
AD_HASH,D,E-Mail für Avis
AD_HASH,E,E-Mail for Avis
AEDAT,D,Angelegt am
AEDAT,E,Changed on
AEDATLOSA,D,Änderungsdat.
AEDATLOSA,E,Changed on
AEDATLOSM,D,Änderungsdat.
AEDATLOSM,E,Changed on
AEDAT_1,D,Änderungsdatum
AEDAT_1,E,Changed On
AEDAT_2,D,Angelegt am
AEDAT_2,E,Created on
AEDAT_3,D,Geändert am
AEDAT_3,E,Changed On
AEDAT_GRND,D,Änderungsdatum
AEDAT_GRND,E,Changed on
AEDAT_KAPA,D,Änderungsdatum
AEDAT_KAPA,E,Changed on
AEDAT_KOST,D,Änderungsdatum
AEDAT_KOST,E,Changed on
AEDAT_TECH,D,Änderungsdatum
AEDAT_TECH,E,Changed on
AEDAT_TERM,D,Änderungsdatum
AEDAT_TERM,E,Changed on
AEDAT_TEXT,D,Änderungsdatum
AEDAT_TEXT,E,Changed on
AEDAT_VORA,D,Änderungsdatum
AEDAT_VORA,E,Changed on
AEDIF,D,Änderungsdienst: Differenzierung Gültigkeit
AEDIF,E,ECM: differentiate effectivity types
AEDTE,D,EckTermn. am
AEDTE,E,Last basic schd
AEDTM,D,Geändert am
AEDTM,E,Changed on
AEDTP,D,PrgTermn. am
AEDTP,E,Last fcst sched
AEDTZ,D,Zähler
AEDTZ,E,Counter
AEERL,D,ObjTyp aktiv
AEERL,E,ObjType active
AEFUN,D,Funktion
AEFUN,E,Function
AEGRU,D,ÄndGrund
AEGRU,E,Reason for chg
AEHLP,D,Hilfsfeld
AEHLP,E,Work Field
AEHLP_1,D,Hilfsfeld
AEHLP_1,E,Work Field
AEKLK,D,Net-Change-Kalk
AEKLK,E,Net Change Cstg
AEKNZ,E,Change indicator
AEKNZ_1,E,Change indicator
AEKZWI1,D,Eingang Brutto
AEKZWI1,E,Gross orders
AEKZWI2,D,Eingang Netto1
AEKZWI2,E,Net orders 1
AEKZWI3,D,Eingang Netto2
AEKZWI3,E,Net orders 2
AEKZWI4,D,Eingang Fracht
AEKZWI4,E,Orders: freight
AEKZWI5,D,AEKondZW5
AEKZWI5,E,Orders Sub5
AEKZWI6,D,AEKondZW6
AEKZWI6,E,Orders sub6
AEMENGE,D,AuftrEingMnge
AEMENGE,E,Tot.order qty
AENAM,D,Geändert von
AENAM,E,Changed by
AENAM_1,D,Geändert von
AENAM_1,E,Changed by
AENAM_2,D,Geändert von
AENAM_2,E,Changed by
AENAM_3,D,Geändert von
AENAM_3,E,Changed by
AENAM_GRND,D,Benutzername
AENAM_GRND,E,User name
AENAM_KAPA,D,Benutzername
AENAM_KAPA,E,User name
AENAM_KOST,D,Benutzername
AENAM_KOST,E,User name
AENAM_TECH,D,Benutzername
AENAM_TECH,E,User name
AENAM_TERM,D,Benutzername
AENAM_TERM,E,User name
AENAM_TEXT,D,Benutzername
AENAM_TEXT,E,User name
AENAM_VORA,D,Benutzername
AENAM_VORA,E,User name
AENBE,D,BerechtGrp
AENBE,E,Auth. group
AENDBELEG,E,Create Change Doc
AENDE,E,Change message flag
AENDERDAT,D,Änderungsdat.
AENDERDAT,E,Changed on
AENDERDAT_1,D,Änderungsdat.
AENDERDAT_1,E,Changed on
AENDERER,D,Geändert von
AENDERER,E,Changed by
AENDERER_1,D,Geändert von
AENDERER_1,E,Changed by
AENDERGNR,D,Änderungsnr.
AENDERGNR,E,Change Number
AENDERZEIT,D,Uhrzeit
AENDERZEIT,E,Time
AENDLOSA,D,Geändert von
AENDLOSA,E,Changed by
AENDLOSM,D,Geändert von
AENDLOSM,E,Changed by
AENDT,D,Geändert am
AENDT,E,Changed On
AEND_ZAEHL,D,Zähler
AEND_ZAEHL,E,Counter
AENETWR,D,Auftr.Eingang
AENETWR,E,Incoming orders
AENNM,D,Geändert von
AENNM,E,Changed by
AENNR,D,Änderungsnr.
AENNR,E,Change Number
AENNR_1,D,Änderungsnr.
AENNR_1,E,Change Number
AENNR_2,D,Änderungsnr.
AENNR_2,E,Change Number
AENNR_3,D,Änderungsnr.
AENNR_3,E,Change Number
AENNR_4,D,Änderungsnr.
AENNR_4,E,Change Number
AENNR_5,D,Änderungsnr.
AENNR_5,E,Change Number
AENRL,D,Letzte ÄndNr
AENRL,E,Last change no.
AENSP,D,Sperren
AENSP,E,Lock
AENST,D,Status ÄndNr
AENST,E,Chg. no. status
AEOST,D,Baselined
AEOST,E,Baselined
AEQ001,D,Äquivalenz.Z.
AEQ001,E,Equivalence no.
AEQ002,D,Äquivalenz.Z.
AEQ002,E,Equivalence no.
AEQ003,D,Äquivalenz.Z.
AEQ003,E,Equivalence no.
